items.name,items.quantity,items.price,storeLocation,customer.gender,purchaseMethod,saleDate
,,,Denver,M,Online,2015-03-23T21:06:49.506Z
,,,Seattle,M,Phone,2015-08-25T10:01:02.918Z
,,,Denver,M,In store,2017-06-22T09:54:14.185Z
,,,Seattle,F,In store,2015-02-23T09:53:59.343Z
,,,London,M,In store,2017-12-03T18:39:48.253Z
,,,London,M,In store,2015-09-02T16:11:59.565Z
,,,London,F,In store,2014-11-11T02:13:51.893Z
,,,Austin,M,Online,2014-03-31T16:02:06.624Z
,,,New York,M,In store,2017-03-21T01:54:26.657Z
,,,Denver,M,In store,2014-08-18T04:37:26.849Z
,,,Seattle,F,Phone,2015-07-25T07:20:29.804Z
,,,London,F,In store,2015-07-22T02:45:20.727Z
,,,San Diego,F,In store,2014-08-18T10:42:13.935Z
,,,Seattle,M,Online,2015-11-15T18:08:12.414Z
,,,San Diego,F,Online,2017-08-21T20:38:34.618Z
,,,Denver,M,Phone,2017-12-08T21:40:34.527Z
,,,New York,F,Phone,2013-08-21T09:36:07.188Z
,,,London,F,In store,2017-11-12T20:30:15.045Z
,,,San Diego,F,In store,2016-08-15T04:05:03.298Z
,,,New York,F,In store,2015-11-16T22:02:34.415Z
,,,Denver,M,In store,2015-11-12T12:06:07.052Z
,,,Denver,F,In store,2015-07-27T20:05:46.464Z
,,,San Diego,M,Online,2013-03-20T16:36:39.112Z
,,,London,M,In store,2016-10-04T07:04:44.122Z
,,,London,F,Online,2015-05-15T13:43:24.561Z
,,,Denver,M,In store,2017-02-09T12:08:51.353Z
,,,Austin,F,Online,2015-04-18T03:33:09.638Z
,,,Denver,F,In store,2016-03-28T00:27:12.457Z
,,,Denver,F,In store,2017-07-13T07:13:43.675Z
,,,Seattle,M,Phone,2016-05-16T01:49:20.963Z
,,,Denver,M,In store,2017-02-06T11:18:38.404Z
,,,Seattle,M,In store,2016-07-10T09:35:56.729Z
,,,Denver,F,In store,2017-09-14T10:52:42.206Z
,,,San Diego,F,In store,2015-11-08T06:59:18.442Z
,,,Denver,M,Online,2015-03-30T06:59:05.365Z
,,,Seattle,F,In store,2016-05-16T03:43:15.808Z
,,,New York,F,In store,2016-10-19T19:12:39.499Z
,,,Austin,F,Online,2013-10-19T18:39:56.083Z
,,,Denver,F,Online,2013-09-30T15:18:53.756Z
,,,London,M,In store,2016-04-27T08:09:58.703Z
,,,San Diego,F,Phone,2016-09-13T16:54:42.141Z
,,,Seattle,F,In store,2016-10-22T18:50:44.216Z
,,,London,F,Online,2016-02-24T10:22:53.004Z
,,,New York,M,Online,2014-06-19T05:36:16.228Z
,,,New York,F,In store,2015-06-04T14:24:26.136Z
,,,Seattle,M,Online,2017-09-01T20:38:29.109Z
,,,Seattle,F,Online,2014-09-08T22:38:56.461Z
,,,Seattle,M,Online,2015-01-11T10:46:32.673Z
,,,London,M,Online,2017-09-28T08:35:45.703Z
,,,Denver,F,In store,2016-09-18T06:34:37.325Z
,,,Austin,F,Online,2014-08-19T01:07:54.005Z
,,,Denver,F,Online,2017-03-24T07:35:43.837Z
,,,Austin,F,In store,2016-01-19T20:06:31.410Z
,,,Seattle,M,In store,2014-07-24T02:47:51.251Z
,,,Austin,M,Online,2016-02-27T10:29:30.758Z
,,,Seattle,F,Online,2013-03-16T11:31:20.572Z
,,,Denver,M,In store,2016-04-01T13:28:23.480Z
,,,London,F,In store,2016-02-06T09:35:02.820Z
,,,Denver,M,Online,2015-05-30T23:42:37.076Z
,,,Denver,M,In store,2013-05-24T23:24:30.507Z
,,,London,F,Phone,2013-09-20T14:23:01.776Z
,,,Denver,M,Online,2017-03-04T12:20:24.104Z
,,,London,M,In store,2015-10-12T06:34:36.325Z
,,,Austin,F,In store,2016-05-16T02:36:18.336Z
,,,Austin,F,Phone,2015-08-13T22:50:27.807Z
,,,Seattle,M,Online,2014-06-05T16:21:32.532Z
,,,Denver,F,Online,2015-08-15T12:11:23.712Z
,,,Austin,M,In store,2014-08-11T02:29:30.467Z
,,,Denver,M,In store,2016-05-05T05:34:26.897Z
,,,Denver,M,In store,2013-11-10T09:34:03.605Z
,,,Seattle,M,Phone,2017-01-04T23:00:17.628Z
,,,London,M,Online,2017-06-11T12:22:46.749Z
,,,Denver,F,Online,2016-08-30T16:42:52.597Z
,,,Denver,M,Online,2017-06-25T19:58:51.303Z
,,,Seattle,F,Online,2017-07-05T16:51:22.710Z
,,,San Diego,F,In store,2016-11-08T01:26:43.191Z
,,,Seattle,F,In store,2016-12-27T07:14:16.123Z
,,,Seattle,M,In store,2017-12-29T22:39:41.487Z
